IDNUMBER,DPHID,NAME,SHORTNAME,ADDRESS,TOWN,GEOG_TOWN,ZIPCODE,CHIAREGION,TELEPHONE,COHORT,HOSPSYSTEM,TAXSTATUS,BEDCOUNT,ER_STATUS,TRAUMA_ADU,TRAUMA_PED,SPEPUBFUND,FYE,MADID,EMSREGION
2069,2069,Beth Israel Deaconess Medical Center East,BIDMC East,330 Brookline Avenue,Boston,BOSTON,02215,Metro Boston,(617) 667-7000,Academic Medical Center,CareGroup,Non-profit,248,N,,,Not Applicable,9/30/2017,35022096,4
2085,2085,Steward St. Elizabeth's Medical Center,St. Elizabeth's Medical Center,736 Cambridge Street,Brighton,BOSTON,02135,Metro Boston,(617) 789-3000,Teaching Hospital,Steward Health Care System,For profit,252,Y,,,Not Applicable,12/31/2017,35156980,4
2299,2299,Tufts Medical Center,Tufts Medical Center,800 Washington Street,Boston,BOSTON,02111,Metro Boston,(617) 636-5000,Academic Medical Center,Wellforce,Non-profit,415,Y,Level 1,Level 1,Not Applicable,9/30/2017,35145764,4
2103,2103,UMass Memorial Marlborough Hospital,Marlborough Hospital,157 Union Street,Marlborough,MARLBOROUGH,01752,Metro West,(508) 481-5000,Community High Public Payer Hospital,UMass Memorial Health Care,Non-profit,79,Y,,,CHART,9/30/2017,1613538,4
2167,2167,Massachusetts Eye and Ear Infirmary,Massachusetts Eye and Ear Infirmary,243 Charles Street,Boston,BOSTON,02114,Metro Boston,(617) 523-7900,Specialty Hospital,Not Applicable,Non-profit,41,Y,,,Not Applicable,9/30/2017,35163139,4
2316,2316,Shriners Hospital For Children - Boston,Shriners Boston,51 Blossom Street,Boston,BOSTON,02114,Metro Boston,(617) 722-3000,Specialty Hospital,Shriners Hospital for Children,Non-profit,30,N,,,Not Applicable,12/31/2017,35016066,4
2168,2168,Massachusetts General Hospital,Massachusetts General Hospital,55 Fruit Street,Boston,BOSTON,02114,Metro Boston,(617) 726-2000,Academic Medical Center,Partners HealthCare System,Non-profit,1035,Y,Level 1,Level 1,Not Applicable,9/30/2017,35155723,4
2071,2071,Mount Auburn Hospital,Mount Auburn Hospital,330 Mount Auburn Street,Cambridge,CAMBRIDGE,02138,Metro Boston,(617) 492-3500,Teaching Hospital,CareGroup,Non-profit,217,Y,,,Not Applicable,9/30/2017,3619685,4
2108,2108,CHA Cambridge Hospital,Cambridge Hospital,1493 Cambridge Street,Cambridge,CAMBRIDGE,02139,Metro Boston,(617) 665-1000,Teaching Hospital,Not Applicable,Municipal,189,Y,,,DSTI,6/30/2017,3618038,4
2046,2046,CHA Everett Hospital,Everett Hospital,103 Garland Street,Everett,EVERETT,02149,Metro Boston,(617) 389-6270,Teaching Hospital,Not Applicable,Municipal,162,Y,,,DSTI,,3508585,3
